,state,state_po,state_fips,county_name,county_fips,candidate,party,candidatevotes,totalvotes
0,ALABAMA,AL,1,AUTAUGA,1001.0,THIRD-PARTY,OTH,567.0,1414238
1,ALABAMA,AL,1,AUTAUGA,1001.0,WILL BOYD,DEM,3814.0,1414238
2,ALABAMA,AL,1,AUTAUGA,1001.0,KATIE BRITT,REP,13359.0,1414238
3,ALABAMA,AL,1,BALDWIN,1003.0,THIRD-PARTY,OTH,2218.0,1414238
4,ALABAMA,AL,1,BALDWIN,1003.0,WILL BOYD,DEM,11478.0,1414238
5,ALABAMA,AL,1,BALDWIN,1003.0,KATIE BRITT,REP,59501.0,1414238
6,ALABAMA,AL,1,BARBOUR,1005.0,THIRD-PARTY,OTH,62.0,1414238
7,ALABAMA,AL,1,BARBOUR,1005.0,WILL BOYD,DEM,2620.0,1414238
8,ALABAMA,AL,1,BARBOUR,1005.0,KATIE BRITT,REP,3861.0,1414238
9,ALABAMA,AL,1,BIBB,1007.0,THIRD-PARTY,OTH,204.0,1414238
10,ALABAMA,AL,1,BIBB,1007.0,WILL BOYD,DEM,971.0,1414238
11,ALABAMA,AL,1,BIBB,1007.0,KATIE BRITT,REP,4694.0,1414238
12,ALABAMA,AL,1,BLOUNT,1009.0,THIRD-PARTY,OTH,552.0,1414238
13,ALABAMA,AL,1,BLOUNT,1009.0,WILL BOYD,DEM,1130.0,1414238
14,ALABAMA,AL,1,BLOUNT,1009.0,KATIE BRITT,REP,14904.0,1414238
15,ALABAMA,AL,1,BULLOCK,1011.0,THIRD-PARTY,OTH,32.0,1414238
16,ALABAMA,AL,1,BULLOCK,1011.0,KATIE BRITT,REP,785.0,1414238
17,ALABAMA,AL,1,BULLOCK,1011.0,WILL BOYD,DEM,1827.0,1414238
18,ALABAMA,AL,1,BUTLER,1013.0,THIRD-PARTY,OTH,81.0,1414238
19,ALABAMA,AL,1,BUTLER,1013.0,WILL BOYD,DEM,2039.0,1414238
20,ALABAMA,AL,1,BUTLER,1013.0,KATIE BRITT,REP,3789.0,1414238
21,ALABAMA,AL,1,CALHOUN,1015.0,THIRD-PARTY,OTH,708.0,1414238
22,ALABAMA,AL,1,CALHOUN,1015.0,WILL BOYD,DEM,7365.0,1414238
23,ALABAMA,AL,1,CALHOUN,1015.0,KATIE BRITT,REP,22008.0,1414238
24,ALABAMA,AL,1,CHAMBERS,1017.0,THIRD-PARTY,OTH,185.0,1414238
25,ALABAMA,AL,1,CHAMBERS,1017.0,WILL BOYD,DEM,2997.0,1414238
